symbol,company,name,role,source_url
2222,Saudi Arabian Oil Co.,Samba Capital & Investment Management Company,lead_manager,https://www.argaam.com/en/article/articledetail/id/1333552
2222,Saudi Arabian Oil Co.,NCB Capital,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Samba Capital,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Citigroup,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Credit Suisse,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Goldman Sachs International,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,HSBC,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,J.P. Morgan,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,BofA Securities (Merrill Lynch),bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Morgan Stanley,bookrunner,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,Lazard,financial_advisor,https://internationalfinance.com/oil-and-gas/lazard-moelis-advise-saudi-aramco-planned-ipo/
2222,Saudi Arabian Oil Co.,Moelis & Company,financial_advisor,https://internationalfinance.com/oil-and-gas/lazard-moelis-advise-saudi-aramco-planned-ipo/
2222,Saudi Arabian Oil Co.,M. Klein & Company,financial_advisor,https://www.aramco.com/-/media/images/investors/saudi-aramco-prospectus-and-supplementary-prospectus.pdf
2222,Saudi Arabian Oil Co.,National Commercial Bank,receiving_agent,https://www.argaam.com/en/article/articledetail/id/1329382
2222,Saudi Arabian Oil Co.,Saudi British Bank (SABB),receiving_agent,https://www.argaam.com/en/article/articledetail/id/1329382
2222,Saudi Arabian Oil Co.,Samba Financial Group,receiving_agent,https://www.argaam.com/en/article/articledetail/id/1329382
2222,Saudi Arabian Oil Co.,Al Rajhi Bank,receiving_agent,https://www.argaam.com/en/article/articledetail/id/1329382
4013,Dr. Sulaiman Al Habib Medical Services Group,Riyad Capital,financial_advisor,https://www.argaam.com/en/article/articledetail/id/1346684
4013,Dr. Sulaiman Al Habib Medical Services Group,Jadwa Investment,lead_manager,https://www.argaam.com/en/article/articledetail/id/1346684
4013,Dr. Sulaiman Al Habib Medical Services Group,Riyad Capital,lead_manager,https://www.argaam.com/en/article/articledetail/id/1346684
4013,Dr. Sulaiman Al Habib Medical Services Group,Jadwa Investment,underwriter,https://www.argaam.com/en/article/articledetail/id/1346684
4013,Dr. Sulaiman Al Habib Medical Services Group,Riyad Capital,underwriter,https://www.argaam.com/en/article/articledetail/id/1346684
4013,Dr. Sulaiman Al Habib Medical Services Group,Jadwa Investment,bookrunner,https://www.argaam.com/en/article/articledetail/id/1346684
